Image_id,material_image_id,style_tags,design_description,user_preference,material_type,color_palette
403,403,boho,Bohemian style living room full of plants and handmade decor.,prefers natural fabrics and artistic patterns,wood,"#6078AF, #108C80, #9BC9D7"
404,404,scandinavian,A cozy bedroom with soft textiles and neutral tones.,wants warm minimalism and neutral colors,leather,"#24A298, #E5CABB, #3CB15E"
405,405,industrial,A warehouse-inspired kitchen featuring raw materials.,likes metal finishes and exposed structures,stone,"#EF5C7D, #9B61FE, #2A0582"
406,406,scandinavian,A cozy bedroom with soft textiles and neutral tones.,prefers light woods and natural fabrics,wood,"#7C14E6, #9E1BCD, #530EB4"
407,407,industrial,A modern loft with exposed brick and steel finishes.,"wants a modern, urban atmosphere",wood,"#036BA6, #43A674, #34C20B"
408,408,industrial,A warehouse-inspired kitchen featuring raw materials.,likes metal finishes and exposed structures,metal,"#268E6E, #37AB7E, #CD73DA"
409,409,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",likes cozy atmospheres with functional design,wood,"#C7B22E, #57544A, #C08209"
410,410,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,likes cozy atmospheres with functional design,wood,"#908F1A, #5D563F, #9EF917"
411,411,boho,Bohemian style living room full of plants and handmade decor.,likes vibrant colors and handmade decor,metal,"#D24E6E, #38CEB0, #5959BB"
412,412,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",loves eclectic vibes and cozy textures,glass,"#6B4710, #B43FA1, #15DEAA"
413,413,industrial,A warehouse-inspired kitchen featuring raw materials.,likes metal finishes and exposed structures,glass,"#511C0A, #2C0E88, #AA16D8"
414,414,minimalist,"A bedroom with white walls, simple furniture, and natural light.",wants a calm and functional design,wood,"#A845B5, #DF95DE, #92EA0D"
415,415,minimalist,Minimalist living room with sleek furniture and uncluttered design.,likes clean lines and clutter-free spaces,fabric,"#926203, #82F60D, #188E3F"
416,416,boho,Bohemian style living room full of plants and handmade decor.,prefers natural fabrics and artistic patterns,wood,"#F83E9A, #F953E5, #A4B5AC"
417,417,industrial,A modern loft with exposed brick and steel finishes.,likes metal finishes and exposed structures,glass,"#9596A1, #EFCC2E, #2533F4"
418,418,minimalist,"A simple, clean space with neutral colors and open areas.",wants a calm and functional design,metal,"#F99B64, #36CCF1, #510AC4"
419,419,boho,A vibrant space with eclectic patterns and layered textiles.,prefers natural fabrics and artistic patterns,marble,"#431F32, #56BD86, #4F43A6"
420,420,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",likes cozy atmospheres with functional design,wood,"#4DFCC0, #620BA7, #2DBB65"
421,421,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,likes cozy atmospheres with functional design,glass,"#963A8F, #C75093, #C2921C"
422,422,minimalist,Minimalist living room with sleek furniture and uncluttered design.,prefers simplicity and neutral palettes,wood,"#FD8D5F, #6886A0, #A1D6DB"
423,423,industrial,A warehouse-inspired kitchen featuring raw materials.,prefers raw textures and darker tones,stone,"#85EDEB, #404639, #E247CC"
424,424,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",loves eclectic vibes and cozy textures,fabric,"#6E69BE, #682067, #C99537"
425,425,boho,Bohemian style living room full of plants and handmade decor.,likes vibrant colors and handmade decor,metal,"#E20222, #EFA0AE, #1BEA42"
426,426,boho,A vibrant space with eclectic patterns and layered textiles.,prefers natural fabrics and artistic patterns,tile,"#55E1D0, #CCC755, #4D1D35"
427,427,minimalist,Minimalist living room with sleek furniture and uncluttered design.,prefers simplicity and neutral palettes,fabric,"#A8E997, #429676, #B5B2F6"
428,428,minimalist,Minimalist living room with sleek furniture and uncluttered design.,prefers simplicity and neutral palettes,metal,"#F9FEA2, #27077D, #AE54B3"
429,429,minimalist,"A simple, clean space with neutral colors and open areas.",wants a calm and functional design,leather,"#95E8DE, #2FF20D, #208E61"
430,430,minimalist,"A simple, clean space with neutral colors and open areas.",wants a calm and functional design,stone,"#26120F, #184071, #653F8B"
431,431,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",prefers light woods and natural fabrics,fabric,"#75F0EA, #D0B4BA, #6AB731"
432,432,minimalist,"A bedroom with white walls, simple furniture, and natural light.",wants a calm and functional design,tile,"#5BFE5E, #505326, #16BD8C"
433,433,boho,A vibrant space with eclectic patterns and layered textiles.,likes vibrant colors and handmade decor,leather,"#9E0499, #86129E, #31DAA8"
434,434,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",prefers light woods and natural fabrics,marble,"#1F26BF, #5FABED, #7498DC"
435,435,boho,Bohemian style living room full of plants and handmade decor.,prefers natural fabrics and artistic patterns,leather,"#12F129, #FBDD0D, #9ACD45"
436,436,minimalist,Minimalist living room with sleek furniture and uncluttered design.,prefers simplicity and neutral palettes,fabric,"#84964E, #9A8E15, #7F8B81"
437,437,industrial,A warehouse-inspired kitchen featuring raw materials.,"wants a modern, urban atmosphere",stone,"#07E64C, #F91F93, #CE098A"
438,438,minimalist,"A bedroom with white walls, simple furniture, and natural light.",wants a calm and functional design,stone,"#D1B56D, #79A7C5, #307040"
439,439,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,wants warm minimalism and neutral colors,glass,"#7CF922, #05071A, #788749"
440,440,boho,Bohemian style living room full of plants and handmade decor.,likes vibrant colors and handmade decor,wood,"#F8C21A, #F72EBD, #AE1C8C"
441,441,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",likes cozy atmospheres with functional design,tile,"#1C40BE, #6FEF7E, #1F5405"
442,442,minimalist,"A bedroom with white walls, simple furniture, and natural light.",prefers simplicity and neutral palettes,leather,"#C05446, #3B36CA, #D46C95"
443,443,industrial,Industrial style office with concrete walls and metal accents.,likes metal finishes and exposed structures,tile,"#27163A, #C33E92, #76608A"
444,444,scandinavian,A cozy bedroom with soft textiles and neutral tones.,wants warm minimalism and neutral colors,metal,"#1342CD, #CBCB47, #05C0C6"
445,445,scandinavian,A cozy bedroom with soft textiles and neutral tones.,likes cozy atmospheres with functional design,glass,"#EDE94C, #149590, #57EDE1"
446,446,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",prefers light woods and natural fabrics,fabric,"#9E3B6F, #472C06, #314364"
447,447,industrial,Industrial style office with concrete walls and metal accents.,prefers raw textures and darker tones,fabric,"#A0C000, #77F787, #4F81B2"
448,448,boho,Bohemian style living room full of plants and handmade decor.,likes vibrant colors and handmade decor,leather,"#C903B1, #5492D6, #5C4888"
449,449,minimalist,Minimalist living room with sleek furniture and uncluttered design.,wants a calm and functional design,tile,"#30458B, #C41E16, #02855A"
450,450,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",prefers natural fabrics and artistic patterns,wood,"#27C372, #4A752A, #5E9E1A"
451,451,industrial,A modern loft with exposed brick and steel finishes.,likes metal finishes and exposed structures,leather,"#CB78D2, #55577D, #1073B0"
452,452,boho,A vibrant space with eclectic patterns and layered textiles.,loves eclectic vibes and cozy textures,tile,"#6485B5, #C6E65B, #A5AE0C"
453,453,industrial,A warehouse-inspired kitchen featuring raw materials.,likes metal finishes and exposed structures,leather,"#C29FB9, #EF1D6A, #E8FF2A"
454,454,minimalist,"A bedroom with white walls, simple furniture, and natural light.",likes clean lines and clutter-free spaces,marble,"#82534E, #3AB649, #C21EBB"
455,455,scandinavian,A cozy bedroom with soft textiles and neutral tones.,prefers light woods and natural fabrics,leather,"#14521F, #097F60, #F918D0"
456,456,minimalist,"A simple, clean space with neutral colors and open areas.",prefers simplicity and neutral palettes,leather,"#D188FA, #CBA776, #F73268"
457,457,industrial,A modern loft with exposed brick and steel finishes.,prefers raw textures and darker tones,glass,"#21AA28, #378627, #9A0915"
458,458,industrial,A warehouse-inspired kitchen featuring raw materials.,"wants a modern, urban atmosphere",fabric,"#EA5667, #E1DA59, #ADEF87"
459,459,boho,A vibrant space with eclectic patterns and layered textiles.,loves eclectic vibes and cozy textures,leather,"#7D5039, #BC8FBC, #84FFC8"
460,460,boho,A vibrant space with eclectic patterns and layered textiles.,prefers natural fabrics and artistic patterns,metal,"#4420FA, #AB7F7E, #FB86C5"
461,461,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",likes vibrant colors and handmade decor,metal,"#6A04CB, #30251F, #E33A14"
462,462,minimalist,"A simple, clean space with neutral colors and open areas.",prefers simplicity and neutral palettes,stone,"#1EFF93, #9DBF26, #6FC1BC"
463,463,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,prefers light woods and natural fabrics,leather,"#C10B85, #E97BAB, #28BD2B"
464,464,industrial,A modern loft with exposed brick and steel finishes.,likes metal finishes and exposed structures,tile,"#D6D746, #D93AD2, #29C11C"
465,465,industrial,A warehouse-inspired kitchen featuring raw materials.,likes metal finishes and exposed structures,metal,"#AE02F6, #7CD4B6, #468D45"
466,466,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,likes cozy atmospheres with functional design,metal,"#79A5C8, #C5A5B0, #39D7F7"
467,467,minimalist,"A bedroom with white walls, simple furniture, and natural light.",prefers simplicity and neutral palettes,tile,"#A15FE9, #066273, #A29F74"
468,468,minimalist,Minimalist living room with sleek furniture and uncluttered design.,wants a calm and functional design,marble,"#FE0D44, #53604F, #2B0FC5"
469,469,minimalist,"A bedroom with white walls, simple furniture, and natural light.",prefers simplicity and neutral palettes,metal,"#0BB61A, #61A78D, #09C9E7"
470,470,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",prefers light woods and natural fabrics,stone,"#EF193A, #D395D9, #118396"
471,471,industrial,A warehouse-inspired kitchen featuring raw materials.,likes metal finishes and exposed structures,leather,"#C44B4F, #0D847C, #0055B5"
472,472,minimalist,"A simple, clean space with neutral colors and open areas.",prefers simplicity and neutral palettes,wood,"#253F85, #C20CEE, #4A3C06"
473,473,minimalist,"A bedroom with white walls, simple furniture, and natural light.",prefers simplicity and neutral palettes,stone,"#3C496E, #EBDFD0, #A0FCED"
474,474,scandinavian,A cozy bedroom with soft textiles and neutral tones.,prefers light woods and natural fabrics,metal,"#C12F1B, #026F1C, #7364B8"
475,475,industrial,A modern loft with exposed brick and steel finishes.,"wants a modern, urban atmosphere",leather,"#FA69BE, #620627, #12010E"
476,476,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,likes cozy atmospheres with functional design,metal,"#759CEB, #CBE73D, #DB7787"
477,477,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",prefers natural fabrics and artistic patterns,metal,"#A9F778, #8C0258, #921F10"
478,478,industrial,A modern loft with exposed brick and steel finishes.,likes metal finishes and exposed structures,glass,"#FA6262, #C61416, #2D3590"
479,479,boho,A vibrant space with eclectic patterns and layered textiles.,likes vibrant colors and handmade decor,marble,"#894579, #F22CA6, #63DE52"
480,480,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",wants warm minimalism and neutral colors,stone,"#31597E, #A7A4FC, #E7918B"
481,481,minimalist,"A bedroom with white walls, simple furniture, and natural light.",prefers simplicity and neutral palettes,leather,"#C24D95, #067D38, #DAAD71"
482,482,industrial,Industrial style office with concrete walls and metal accents.,prefers raw textures and darker tones,tile,"#B41146, #A5FAAA, #3C288D"
483,483,minimalist,"A simple, clean space with neutral colors and open areas.",prefers simplicity and neutral palettes,fabric,"#565C50, #12C547, #D43782"
484,484,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",likes cozy atmospheres with functional design,wood,"#33FC44, #6CA59A, #629B56"
485,485,boho,Bohemian style living room full of plants and handmade decor.,likes vibrant colors and handmade decor,wood,"#6DDDCC, #BE7325, #8704A7"
486,486,minimalist,Minimalist living room with sleek furniture and uncluttered design.,prefers simplicity and neutral palettes,tile,"#386254, #30392F, #4C5425"
487,487,boho,Bohemian style living room full of plants and handmade decor.,prefers natural fabrics and artistic patterns,glass,"#196543, #BEEA04, #D76BBF"
488,488,industrial,Industrial style office with concrete walls and metal accents.,likes metal finishes and exposed structures,tile,"#5DD6FE, #38860D, #C9CD07"
489,489,boho,Bohemian style living room full of plants and handmade decor.,loves eclectic vibes and cozy textures,wood,"#675D9D, #83577B, #8BBE7C"
490,490,minimalist,"A bedroom with white walls, simple furniture, and natural light.",prefers simplicity and neutral palettes,tile,"#5A240B, #B2EF9B, #D6AAB8"
491,491,industrial,A modern loft with exposed brick and steel finishes.,prefers raw textures and darker tones,glass,"#1995F6, #C1768C, #BE9759"
492,492,scandinavian,A cozy bedroom with soft textiles and neutral tones.,likes cozy atmospheres with functional design,tile,"#A79D07, #8DFB37, #E50E8B"
493,493,boho,A vibrant space with eclectic patterns and layered textiles.,prefers natural fabrics and artistic patterns,leather,"#81E2D3, #BB3153, #A304FE"
494,494,boho,Bohemian style living room full of plants and handmade decor.,loves eclectic vibes and cozy textures,metal,"#99D6EC, #E78EBF, #FB9999"
495,495,industrial,A modern loft with exposed brick and steel finishes.,prefers raw textures and darker tones,glass,"#4813A9, #62C1A1, #17BDA0"
496,496,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,prefers light woods and natural fabrics,leather,"#B2B481, #8080D6, #26B067"
497,497,minimalist,Minimalist living room with sleek furniture and uncluttered design.,likes clean lines and clutter-free spaces,marble,"#E21D6A, #A93F2E, #139939"
498,498,industrial,A warehouse-inspired kitchen featuring raw materials.,"wants a modern, urban atmosphere",metal,"#9D6A42, #E4CF09, #750413"
499,499,industrial,A warehouse-inspired kitchen featuring raw materials.,prefers raw textures and darker tones,fabric,"#B53513, #DDB053, #113755"
500,500,industrial,A warehouse-inspired kitchen featuring raw materials.,"wants a modern, urban atmosphere",leather,"#B463BE, #AA0623, #10FBAD"
501,501,scandinavian,A cozy bedroom with soft textiles and neutral tones.,prefers light woods and natural fabrics,marble,"#D5286D, #F0C6A0, #45E47D"
502,502,minimalist,"A bedroom with white walls, simple furniture, and natural light.",prefers simplicity and neutral palettes,stone,"#1F7554, #FB0E96, #77FD2F"
503,503,boho,Bohemian style living room full of plants and handmade decor.,likes vibrant colors and handmade decor,fabric,"#F37964, #4E0CAC, #0C1D35"
504,504,industrial,Industrial style office with concrete walls and metal accents.,prefers raw textures and darker tones,metal,"#B80631, #24CCC9, #D62EEB"
505,505,industrial,Industrial style office with concrete walls and metal accents.,"wants a modern, urban atmosphere",tile,"#9CB425, #DC80EA, #7067F2"
506,506,boho,Bohemian style living room full of plants and handmade decor.,loves eclectic vibes and cozy textures,stone,"#769CCA, #B9E73E, #F37CCA"
507,507,industrial,A modern loft with exposed brick and steel finishes.,prefers raw textures and darker tones,marble,"#366009, #07A989, #99BFB4"
508,508,scandinavian,A cozy bedroom with soft textiles and neutral tones.,wants warm minimalism and neutral colors,leather,"#0DED2E, #179365, #E709C1"
509,509,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",prefers natural fabrics and artistic patterns,fabric,"#2E15D3, #524617, #1B0AAC"
510,510,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",prefers natural fabrics and artistic patterns,wood,"#7901EA, #7DBC05, #41B06D"
511,511,industrial,Industrial style office with concrete walls and metal accents.,prefers raw textures and darker tones,leather,"#83EDDB, #750BBE, #37AF9F"
512,512,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,likes cozy atmospheres with functional design,metal,"#4C9061, #1D923D, #B1DA2A"
513,513,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,likes cozy atmospheres with functional design,wood,"#525EA7, #ED559E, #082435"
514,514,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",wants warm minimalism and neutral colors,tile,"#AA4C11, #1C44A3, #3EA13A"
515,515,boho,Bohemian style living room full of plants and handmade decor.,likes vibrant colors and handmade decor,leather,"#781103, #11CAA6, #5EF3E8"
516,516,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,wants warm minimalism and neutral colors,stone,"#6D4C30, #26C861, #40B109"
517,517,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",likes vibrant colors and handmade decor,metal,"#F68092, #E18B60, #8F7CC2"
518,518,industrial,A modern loft with exposed brick and steel finishes.,prefers raw textures and darker tones,wood,"#349FBD, #D73B47, #287DA1"
519,519,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",likes cozy atmospheres with functional design,leather,"#152353, #3464AA, #5C01EE"
520,520,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,likes cozy atmospheres with functional design,leather,"#FBEDB4, #CAC70C, #E7251B"
521,521,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",loves eclectic vibes and cozy textures,metal,"#922024, #6DB8CF, #171223"
522,522,scandinavian,A cozy bedroom with soft textiles and neutral tones.,prefers light woods and natural fabrics,leather,"#9E1F90, #7F209C, #4C0AE6"
523,523,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",loves eclectic vibes and cozy textures,wood,"#46D624, #494D9F, #F65500"
524,524,industrial,Industrial style office with concrete walls and metal accents.,likes metal finishes and exposed structures,leather,"#F3732F, #DA97CE, #C1B25E"
525,525,boho,A vibrant space with eclectic patterns and layered textiles.,loves eclectic vibes and cozy textures,marble,"#C85968, #2C7110, #D66965"
526,526,boho,Bohemian style living room full of plants and handmade decor.,likes vibrant colors and handmade decor,fabric,"#6A67B0, #F28E55, #FE21C8"
527,527,scandinavian,A cozy bedroom with soft textiles and neutral tones.,likes cozy atmospheres with functional design,marble,"#0D232B, #CCC07F, #D0911A"
528,528,minimalist,Minimalist living room with sleek furniture and uncluttered design.,likes clean lines and clutter-free spaces,stone,"#3D7C38, #CE3F34, #472A6F"
529,529,boho,A vibrant space with eclectic patterns and layered textiles.,prefers natural fabrics and artistic patterns,wood,"#D74FF4, #2005FD, #92B1A9"
530,530,minimalist,Minimalist living room with sleek furniture and uncluttered design.,likes clean lines and clutter-free spaces,leather,"#606FCD, #BAB8D7, #3F1023"
531,531,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",likes cozy atmospheres with functional design,tile,"#821016, #0A128F, #419043"
532,532,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",wants warm minimalism and neutral colors,leather,"#8EE9D6, #9893AE, #91013C"
533,533,industrial,Industrial style office with concrete walls and metal accents.,"wants a modern, urban atmosphere",stone,"#1F6BA8, #2CDB8E, #58CA7D"
534,534,boho,A vibrant space with eclectic patterns and layered textiles.,loves eclectic vibes and cozy textures,tile,"#61B1C3, #DEE162, #B1E911"
535,535,industrial,A warehouse-inspired kitchen featuring raw materials.,likes metal finishes and exposed structures,metal,"#8324B8, #A0A467, #AD3E63"
536,536,scandinavian,A cozy bedroom with soft textiles and neutral tones.,wants warm minimalism and neutral colors,wood,"#70DF86, #161692, #033701"
537,537,scandinavian,A cozy bedroom with soft textiles and neutral tones.,wants warm minimalism and neutral colors,glass,"#27934C, #3F9E1F, #3CA189"
538,538,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,likes cozy atmospheres with functional design,fabric,"#A8452B, #442839, #206FB5"
539,539,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",loves eclectic vibes and cozy textures,leather,"#07CF87, #6CC7DC, #AFA0A0"
540,540,boho,Bohemian style living room full of plants and handmade decor.,prefers natural fabrics and artistic patterns,wood,"#0610CE, #51B89B, #BF3612"
541,541,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",wants warm minimalism and neutral colors,glass,"#07EE36, #271EBA, #F12EAD"
542,542,industrial,A warehouse-inspired kitchen featuring raw materials.,prefers raw textures and darker tones,glass,"#55F678, #3492BA, #47FC1D"
543,543,boho,Bohemian style living room full of plants and handmade decor.,prefers natural fabrics and artistic patterns,metal,"#F1C460, #CDEB12, #8008AD"
544,544,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",likes cozy atmospheres with functional design,tile,"#A7B66F, #64B5E8, #4AB3D4"
545,545,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,likes cozy atmospheres with functional design,wood,"#8B6FAB, #C1FA75, #B07124"
546,546,scandinavian,A cozy bedroom with soft textiles and neutral tones.,likes cozy atmospheres with functional design,marble,"#09A281, #35B57A, #D6FAF8"
547,547,minimalist,Minimalist living room with sleek furniture and uncluttered design.,likes clean lines and clutter-free spaces,glass,"#667D65, #41FE30, #A56A8C"
548,548,industrial,A modern loft with exposed brick and steel finishes.,"wants a modern, urban atmosphere",marble,"#D5E353, #C0AD45, #689BEE"
549,549,minimalist,Minimalist living room with sleek furniture and uncluttered design.,likes clean lines and clutter-free spaces,wood,"#7819F4, #AB901F, #7E64D8"
550,550,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",likes cozy atmospheres with functional design,stone,"#F70068, #CAC542, #A190B8"
551,551,minimalist,"A simple, clean space with neutral colors and open areas.",prefers simplicity and neutral palettes,fabric,"#EAC64A, #9590DD, #5ABF18"
552,552,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",likes cozy atmospheres with functional design,fabric,"#DFAA1C, #2E786A, #6D8FB1"
553,553,industrial,A modern loft with exposed brick and steel finishes.,"wants a modern, urban atmosphere",glass,"#6A18D2, #F81953, #AF92D4"
554,554,minimalist,Minimalist living room with sleek furniture and uncluttered design.,wants a calm and functional design,wood,"#916F31, #69D14A, #EBDE93"
555,555,minimalist,"A bedroom with white walls, simple furniture, and natural light.",prefers simplicity and neutral palettes,marble,"#415355, #75E528, #C4354C"
556,556,industrial,A warehouse-inspired kitchen featuring raw materials.,prefers raw textures and darker tones,leather,"#7E292C, #1BECC9, #602856"
557,557,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",loves eclectic vibes and cozy textures,tile,"#1793E5, #216F3A, #F45135"
558,558,industrial,A modern loft with exposed brick and steel finishes.,"wants a modern, urban atmosphere",wood,"#0CBBC6, #D2A463, #4E01B2"
559,559,industrial,A modern loft with exposed brick and steel finishes.,likes metal finishes and exposed structures,fabric,"#9A79F1, #32EDC2, #CABB99"
560,560,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",loves eclectic vibes and cozy textures,fabric,"#FDD582, #4C133C, #6328FF"
561,561,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,likes cozy atmospheres with functional design,wood,"#B2392A, #DDBC9E, #7E0C9F"
562,562,minimalist,Minimalist living room with sleek furniture and uncluttered design.,wants a calm and functional design,leather,"#5E2BD2, #EDB05C, #6FDFAA"
563,563,boho,A vibrant space with eclectic patterns and layered textiles.,loves eclectic vibes and cozy textures,marble,"#B2D7D1, #267213, #D7AB38"
564,564,industrial,A warehouse-inspired kitchen featuring raw materials.,prefers raw textures and darker tones,marble,"#261B3B, #9083DA, #6A88D9"
565,565,industrial,A modern loft with exposed brick and steel finishes.,"wants a modern, urban atmosphere",glass,"#8D3978, #4B48C2, #13A017"
566,566,industrial,A modern loft with exposed brick and steel finishes.,prefers raw textures and darker tones,stone,"#826893, #82C037, #C06D28"
567,567,scandinavian,A cozy bedroom with soft textiles and neutral tones.,wants warm minimalism and neutral colors,tile,"#8A67D6, #867077, #01FA59"
568,568,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",likes vibrant colors and handmade decor,wood,"#E82AD8, #7C2CE1, #9A4397"
569,569,industrial,Industrial style office with concrete walls and metal accents.,likes metal finishes and exposed structures,marble,"#D3355C, #BE8808, #B9DF68"
570,570,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,likes cozy atmospheres with functional design,leather,"#0F46DD, #F06864, #C491BE"
571,571,industrial,A modern loft with exposed brick and steel finishes.,"wants a modern, urban atmosphere",leather,"#CA80C0, #2B3BE9, #F2F19A"
572,572,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",prefers light woods and natural fabrics,wood,"#CCD2DB, #22CAFD, #66A1B5"
573,573,industrial,A modern loft with exposed brick and steel finishes.,prefers raw textures and darker tones,metal,"#3190BF, #C8A12F, #4E71E8"
574,574,minimalist,Minimalist living room with sleek furniture and uncluttered design.,wants a calm and functional design,metal,"#834D59, #EB78F1, #D5C34F"
575,575,boho,"A colorful, free-spirited bedroom with mixed textures and cozy lighting.",loves eclectic vibes and cozy textures,wood,"#C8BEE9, #FB979C, #96AB02"
576,576,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,prefers light woods and natural fabrics,marble,"#4F1DD8, #F9BA8B, #815312"
577,577,industrial,A warehouse-inspired kitchen featuring raw materials.,prefers raw textures and darker tones,wood,"#C64030, #5E4010, #202C38"
578,578,boho,Bohemian style living room full of plants and handmade decor.,likes vibrant colors and handmade decor,fabric,"#7618C1, #22CAA1, #AC211B"
579,579,scandinavian,Scandinavian style kitchen emphasizing light and functionality.,prefers light woods and natural fabrics,metal,"#F76810, #A46A36, #AB455F"
580,580,industrial,Industrial style office with concrete walls and metal accents.,"wants a modern, urban atmosphere",marble,"#6A49AA, #D3385F, #BB7945"
581,581,boho,A vibrant space with eclectic patterns and layered textiles.,likes vibrant colors and handmade decor,marble,"#A2C0F9, #C5B844, #82199F"
582,582,boho,Bohemian style living room full of plants and handmade decor.,loves eclectic vibes and cozy textures,leather,"#EF1160, #E10454, #B95CEB"
583,583,scandinavian,A cozy bedroom with soft textiles and neutral tones.,wants warm minimalism and neutral colors,tile,"#2FCF0F, #DECBEB, #5EECD3"
584,584,scandinavian,"A bright, airy living room with wooden floors and cozy fabrics.",wants warm minimalism and neutral colors,marble,"#BB4945, #8BC7F2, #2EEB3B"
585,585,minimalist,Minimalist living room with sleek furniture and uncluttered design.,likes clean lines and clutter-free spaces,glass,"#2129C4, #16B9C3, #2F69DF"
586,586,boho,Bohemian style living room full of plants and handmade decor.,loves eclectic vibes and cozy textures,fabric,"#951FD3, #B412B9, #9D56FF"
587,587,scandinavian,A cozy bedroom with soft textiles and neutral tones.,likes cozy atmospheres with functional design,metal,"#027865, #D6C1DD, #1D62C2"
588,588,minimalist,"A simple, clean space with neutral colors and open areas.",wants a calm and functional design,stone,"#BD1036, #4397D3, #B00036"
589,589,minimalist,"A bedroom with white walls, simple furniture, and natural light.",prefers simplicity and neutral palettes,marble,"#898206, #18B7B2, #1AF5B7"
590,590,boho,A vibrant space with eclectic patterns and layered textiles.,loves eclectic vibes and cozy textures,glass,"#874F6A, #11F56D, #1E2C84"
591,591,boho,A vibrant space with eclectic patterns and layered textiles.,likes vibrant colors and handmade decor,wood,"#383350, #23EB3A, #4B03FC"
592,592,boho,Bohemian style living room full of plants and handmade decor.,likes vibrant colors and handmade decor,tile,"#6A019A, #D6640A, #999829"
593,593,minimalist,"A simple, clean space with neutral colors and open areas.",prefers simplicity and neutral palettes,tile,"#CAD3F3, #17F3D4, #BC3DC5"
594,594,minimalist,"A bedroom with white walls, simple furniture, and natural light.",wants a calm and functional design,tile,"#00A1FE, #676CCE, #8E7D56"
595,595,industrial,Industrial style office with concrete walls and metal accents.,likes metal finishes and exposed structures,metal,"#785664, #762459, #111278"
596,596,boho,A vibrant space with eclectic patterns and layered textiles.,prefers natural fabrics and artistic patterns,glass,"#C1B742, #8DDADE, #171EB1"
597,597,boho,A vibrant space with eclectic patterns and layered textiles.,loves eclectic vibes and cozy textures,marble,"#2DA663, #970613, #A85310"
598,598,industrial,A warehouse-inspired kitchen featuring raw materials.,likes metal finishes and exposed structures,metal,"#51D0D5, #FA38DA, #A759E5"
599,599,minimalist,"A simple, clean space with neutral colors and open areas.",likes clean lines and clutter-free spaces,fabric,"#831297, #246412, #640EB7"
600,600,industrial,A warehouse-inspired kitchen featuring raw materials.,"wants a modern, urban atmosphere",glass,"#AAC104, #CC81C1, #EEAFEF"
601,601,minimalist,"A bedroom with white walls, simple furniture, and natural light.",prefers simplicity and neutral palettes,tile,"#84DE56, #4F30EA, #4AFAA5"
602,602,scandinavian,A cozy bedroom with soft textiles and neutral tones.,wants warm minimalism and neutral colors,tile,"#0FB599, #83EBB7, #5FFE9F"
603,603,minimalist,Minimalist living room with sleek furniture and uncluttered design.,prefers simplicity and neutral palettes,fabric,"#A417A5, #72DA86, #4ED902"
